;;DML;STOCK DE REPUESTOS GENERAL ;;;;FALTA;;;
;;Ubicación;Stock de Servicio Técnico al 11/12/2025;;;;QUEDA 1;;;
;;;;;;;;;;
;;Stock;;;;;;;;
;;;ITEM;TOTAL;UBICACIÓN ACTUAL;;;;CODIGO DE UBICACIÓN;X SIGNIFICA - ULTIMA CARGA GENERAL DE STOCK 26-06-2025
;Tipo Maquina;CODIGO;;;Estante;Fila;Posición;Box;;
45;Bateria;B500049;SCREW TCEI M4X6 DIN 7984;18;3 ;3 ;B ;2;E03 -F03 -PB -B02;
46;Bateria;B500068;SCREW TCEI M3X8 UNI5931;101;1 ;5 ;A ;4;E01 -F05 -PA -B04;
47;Bateria;B500092;"SCREW UNC 1/4X1-1/2"" (ITA 40)";4;1 ;5 ;B ;2;E01 -F05 -PB -B02;X
48;Bateria;B500140;SCREW TCEI M5X30 UNI5931;12;2 ;8 ;A ;1;E02 -F08 -PA -B01;X
49;Bateria;B500202;VITE TCEI M4X20 UNI5931;12;1 ;5 ;B ;3;E01 -F05 -PB -B03;X
50;Bateria;B500208;SCREW TBCR BN13577 3,5X20 KA35;17;1 ;7 ;B ;2;E01 -F07 -PB -B02;X
51;Bateria;B500211;LOCK. WASHER - ITA 25;1;3 ;3 ;A ;2;E03 -F03 -PA -B02;X
52;Bateria;B500214;SCREW TPSCE M4X8UNI5933;13;2 ;7 ;B ;1;E02 -F07 -PB -B01;X
53;Bateria;B500273;SCREW TCEI M3X10 UNI 5931;6;1 ;6 ;A ;1;E01 -F06 -PA -B01;X
54;Bateria;B500275;SCREW TCI M2X10 UNI 6107;17;2 ;8 ;A ;2;E02 -F08 -PA -B02;X
55;Bateria;B500336;SCREW TSPCE M4X10 UNI 5933;0;2 ;7 ;B ;2;E02 -F07 -PB -B02;3 PEDIDOS POR DANIELA EL 21/10/2025
56;Bateria;B500379;SCREW STEI M4X5 UNI 5923;68;1 ;6 ;A ;2;E01 -F06 -PA -B02;
57;Bateria;B500395;SCREW 3.5X16;144;1 ;8 ;A ;2;E01 -F08 -PA -B02;X NO ESTABA INCLUIDO EN CAJA D DEL STOCK ENVIADO 23/6 S/COD
58;Bateria;B500418;SCREW UNC 10-24X3/8' ANSI B18.3;27;2 ;8 ;A ;3;E02 -F08 -PA -B03;X
59;Bateria;B500464;SCHNORR W.R150 DIAM.3 - ITA 25;0;1 ;7 ;A ;3;E01 -F07 -PA -B03;
60;Bateria;B500465;SCREW TCEI M5X14 UNI5931;46;2 ;8 ;A ;4;E02 -F08 -PA -B04;
61;Bateria;B500522;SCREW TBCR BN13577 3,5X30 KA35;15;1 ;5 ;B ;4;E01 -F05 -PB -B04;X
62;Bateria;B500523;CYLINDER SCREW M3x6 UNI5931;5;2 ;7 ;B ;3;E02 -F07 -PB -B03;X
63;Bateria;B500524;SCREW TBIC M5X10 UNI7687;19;1 ;8 ;A ;1;E01 -F08 -PA -B01;X
64;Bateria;B500529;SCREW M3X20 DIN7505A;116;3 ;1 ;B ;2;E03 -F01 -PB -B02;X
65;Bateria;B500548;SCREW STEI M4X8 UNI 5923;15;3 ;3 ;B ;3;E03 -F03 -PB -B03;
66;Bateria;B600013;CIRCLIP NACIONALES;5;2 ;7 ;A ;2;E02 -F07 -PA -B02;
67;Bateria;B600059;CUP WASHE CB 25x12,2x1,5 (10/12);6;1 ;6 ;B ;1;E01 -F06 -PB -B01;X
68;Bateria;B600112;WASHER PS12X18X0.5 DIN988;4;1 ;6 ;A ;4;E01 -F06 -PA -B04;X
69;Bateria;B600159;CIRCLIP A12 DIN 471;2;2 ;8 ;B ;2;E02 -F08 -PB -B02;X
70;Bateria;B600189;CIRCLIP RA3.2 DIN6799;3;1 ;6 ;A ;3;E01 -F06 -PA -B03;1 pedido por Daniela 15/10/2025
71;Bateria;B600190;CIRCLIP D8 7435;11;1 ;6 ;B ;3;E01 -F06 -PB -B03;
72;Bateria;B600192;SAFETY CIRCLIPS D4 BN13193;6;1 ;6 ;B ;2;E01 -F06 -PB -B02;X
73;Bateria;B600227;CUP WASHE CB 12,5x6  2x0,7;6;3;6;A ;2;E03-F06-PA -B02;
74;Bateria;B600343;SPRING G13-025 ISO10243;4;2 ;4 ;B ;1;E02 -F04 -PB -B01;X
75;Bateria;B600345;CIRCLIP D34 UNI 7435;6;1 ;6 ;B ;4;E01 -F06 -PB -B04;X
76;Bateria;B600346;CIRCLIP D15 UNI 7435;10;1 ;6 ;B ;4;E01 -F06 -PB -B04;X NO ESTABA INCLUIDO EN CAJA D DEL STOCK ENVIADO 23/6 
77;Bateria;B600376;WASHER PS 15X21X0.5;5;1 ;8 ;A ;3;E01 -F08 -PA -B03;X
78;Bateria;B600389;WASHER PS 22x30x0,2;5;1 ;7 ;A ;2;E01 -F07 -PA -B02;X
79;Bateria;B600391;WASHER PS 6X12X0.2;10;2 ;3 ;B ;1;E02 -F03 -PB -B01;X
80;Bateria;B600402;CIRCLIP RA4 UNI 7434;10;2 ;3 ;B ;2;E02 -F03 -PB -B02;X
81;Bateria;B600457;CIRCLIP D7 DIN 471;10;2 ;8 ;B ;3;E02 -F08 -PB -B03;X EN EL STOCK ENVIADO DECIA 8 PERO HABIA 9
82;Bateria;B700101;PIN 6X28 DIN6325;4;2 ;8 ;B ;4;E02 -F08 -PB -B04;X
83;Bateria;B700103;ELASTIC PIN 3x10 UNI6874;2;2 ;6 ;B ;1;E02 -F06 -PB -B01;
84;Bateria;B700325;SPHERE DIAM .5MM;401;1 ;7 ;A ;4;E01 -F07 -PA -B04;X
85;Bateria;B700419;ELASTIC PIN4X20 U6874;8;2 ;6 ;B ;2;E02 -F06 -PB -B02;X
86;Bateria;B700525;PIN 6X20 ISO8735;4;2 ;6 ;B ;3;E02 -F06 -PB -B03;X
87;Bateria;B800364;ELECTRONIC POWER CARD (ITA 20);2;4 ;5 ;;1;E04 -F05 -B01;X
88;Bateria;B800366;KEYBOARD;5;4 ;4 ;;1;E04 -F04 -B01;X
89;Bateria;B800378;WELDING SWITCH WITH CABLE;8;2 ;4 ;A ;2;E02 -F04 -PA -B02;X
90;Bateria;B800396;TENSION MICROSWITCH;0;2 ;4 ;A ;4;E02 -F04 -PA -B04;4 PIDIO RAYPAC 22/7/2025
91;Bateria;B800397;POWER CABLES KIT;3;4 ;3 ;;2;E04 -F03 -B02;X 1 PEDIDO POR DANIELA 8/9 2025
92;Bateria;B800424;ELECTRONIC POWER CARD;6;4 ;5 ;;2;E04 -F05 -B02;X
93;Bateria;B800460;WELDING SWITCH WITH CABLE D2FD;6;2 ;4 ;A ;3;E02 -F04 -PA -B03;X 4 PIDIO RAYPAC 22/7/2025
94;Bateria;B800479;CABLE CONNECTION BACKWORDS COMPA;12;4 ;3 ;;4;E04 -F03 -B04;X
95;Bateria;B800510;OPERATING BUTTON;17;4 ;3 ;;1;E04 -F03 -B01;1 PEDIDO POR DANIELA EL 26/11/2025
96;Bateria;B800515;KEYBOARD;5;4 ;5 ;;3;E04 -F05 -B03;
97;Bateria;B800530;CONNECTION CABLE;14;4 ;3 ;;3;E04 -F03 -B03;X
98;Bateria;B800531;ELECTRONIC SIGNALS CARD-N;12;4 ;4 ;;2;E04 -F04 -B02;
99;Bateria;B800532;POWER CARD ITA 24;5;4 ;4 ;;3;E04 -F04 -B03;X
100;Bateria;B800533;POWER CARD ITA 25;6;5 ;3 ;;3;E05 -F03 -B03;
101;Bateria;B800534;CONNECTION CABLE-N;54;4 ;4 ;;4;E04 -F04 -B04;X
102;Bateria;B800583;BATTERY CONNECTION CARD;7;4 ;5 ;;4;E04 -F05 -B04;X
103;Bateria;D000010;WELDING FOOT PIN;0;3 ;5 ;A ;1;E03 -F05 -PA -B01;1 pedido por Daniela 15/10/2025
104;Bateria;D000200;FRONT GUIDESTRAP;};2 ;1 ;B ;4;E02 -F01 -PB -B04;X
105;Bateria;D000250;FAST AIR CONN. ANI 64MF 8X10;3;2 ;1 ;B ;1;E02 -F01 -PB -B01;1 pedido por Daniela 2/5/2025
