CODIGO;ITEM
D003490;"ANVIL 16mm 5/8"" (ITA 40)"
D003500;"ANVIL 13mm 1/2"" (ITA 40)"
D003510;LINKER (ITA 40)
D003520;JAW (ITA 40)
D003540;"FRONT PLATE 13mm 1/2"" (ITA 40)"
D003550;"FRONT PLATE 16mm 5/8"" (ITA 40)"
D003560;"FRONT PLATE 19mm 3/4"" (ITA 40)"
D003570;"REAR PLATE 13mm 1/2"" (ITA 40)"
D003580;"REAR PLATE 16mm 5/8"" (ITA 40)"
D003590;"REAR PLATE 19mm 3/4"" (ITA 40)"
D003640;FEEDWHEEL (ITA 40)
D003770;COVER GASKET (ITA 40)
D004270;TENSION BUTTON SPRING
D004540;WELDING FOOT
D004560;SPECIAL SCREW SPRING HOLDER
D004570;WELDING FOOT ITA11-12
D004580;WELDING PLATE (ITA 20)
D004600;WELDING PLATE
D004610;FEEDWHEEL
D004620;CUTTER
D004630;HT FRONT GUIDESTRAP
D004640;SUPPORT
D004660;REAR GUIDESTRAP PIN HT
D004670;WELDING MOTOR SUPPORT
D004710;LEVER HT-PA6FV V1
D004720;HT TENSION BUTTON
D004730;HT KEYBOARD SUPPORT
D004740;HT COVER
D005260;WELDING LEVER
D005270;LINKER
D005280;PISTON
D005700;LOCKING STRAP PLATE (ITA 11)
D005860;SUPPORT PIN
D005870;WELDING PLATE
D006030;SPRING
D006050;TENSION FEEDWHEEL ITA25 .
D006060;WELDING FRAME
D006110;TENSION FEEDWHEEL ITA24
D006120;WEAR PLATE
D006130;WELDING MOTOR FLANGE .
D006140;SUPPORT PIN .
D006180;SIDE GUIDESTRAP 16mm 5/8
D006190;SIDE GUIDESTRAP 19mm 3/4
D006270;PIN
D006280;REAR GUIDESTRAP PIN
D006300;MAIN FRAME
D006350;HOOK
D006420;UPPER COVER ORANGE
D006430;BOTTOM PLASTIC TOOL COVER
D006440;COVER
D006450;HANDLE
D006460;SUPPORT
D006510;GUIDESTRAP PIN
D006570;SPRING
D007030;SPECIAL SCREW
B6001-2Z;BUSHING 6001 2Z
SP00903;CUTTING SET 
SP00321;FMS, M5X8 (SUS)
SP00018;LEVER COMPLETE RED
SP00023;NOSE HOOK
SP00048;KNIFE COMPLETE CT-25
SP00327;CLAMP PLATE CTT-40
SP00329;SPRING FOR CLAMP
SP00351;KNIFE COMPLETE CT-40
S55;SEGUER 55
GCT25;GANCHOS CT25
GCTT40;GANCHOS CTT40
